Institution,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
CMU,,,65.25%,66.14%,66.97%,67.84%,67.39%,67.69%,67.49%,68.40%,71.77%,74.90%,73.76%,75.18%,77.12%,79.88%,83.23%,90.67%,93.77%,99.23%,101.94%,106.59%
EMU,,,70.24%,72.15%,73.53%,75.62%,78.26%,76.58%,75.65%,76.41%,76.94%,76.24%,78.67%,79.64%,82.01%,84.22%,88.98%,95.01%,97.02%,99.19%,105.17%,111.89%
Ferris,,,80.21%,78.29%,78.27%,76.38%,75.45%,76.24%,78.06%,78.21%,79.15%,80.02%,80.54%,80.71%,84.19%,87.15%,90.39%,95.09%,98.23%,100.84%,100.35%,106.40%
GVSU,,,56.30%,55.24%,53.37%,52.95%,51.91%,51.45%,52.71%,54.17%,55.79%,56.76%,56.84%,56.37%,56.15%,57.10%,56.94%,57.86%,61.51%,69.66%,70.35%,68.44%
LSSU,,,84.38%,88.29%,96.71%,96.94%,96.24%,102.40%,107.11%,105.90%,112.41%,117.17%,120.07%,127.73%,129.60%,137.62%,141.47%,151.87%,151.89%,151.46%,164.32%,174.99%
MSU,,,119.73%,119.10%,117.88%,117.30%,116.52%,118.80%,118.54%,116.81%,114.51%,112.79%,111.81%,110.90%,111.01%,109.82%,108.64%,104.53%,101.50%,98.16%,95.77%,93.19%
MTU,,,141.56%,139.43%,142.44%,137.13%,131.76%,133.25%,137.79%,142.71%,147.31%,139.29%,138.36%,133.08%,133.86%,133.49%,132.74%,134.05%,130.53%,119.89%,117.28%,116.54%
NMU,,,93.56%,94.02%,94.39%,95.87%,97.09%,97.18%,101.14%,102.00%,105.53%,108.33%,112.16%,116.60%,124.19%,127.49%,125.52%,124.12%,124.99%,121.74%,124.03%,123.47%
OU,,,64.79%,63.49%,61.95%,61.10%,60.97%,59.15%,59.07%,58.57%,57.00%,54.60%,53.62%,52.42%,52.69%,53.70%,53.56%,53.38%,58.50%,69.08%,71.66%,73.41%
SVSU,,,63.98%,63.47%,62.88%,61.99%,60.93%,57.97%,60.52%,59.21%,60.21%,61.59%,63.75%,65.31%,68.92%,72.48%,72.19%,73.59%,75.15%,76.10%,78.00%,80.12%
UM A,,,142.08%,140.68%,139.98%,137.76%,138.57%,139.21%,138.30%,136.22%,132.74%,131.99%,131.72%,131.40%,124.96%,120.54%,117.87%,113.56%,109.68%,101.24%,98.19%,96.88%
UM D,,,70.12%,70.57%,70.98%,70.40%,71.03%,70.11%,71.83%,70.67%,69.72%,69.72%,68.84%,68.44%,67.29%,65.38%,63.94%,63.75%,64.85%,69.17%,68.89%,68.16%
UM F,,,74.68%,72.86%,70.95%,67.97%,64.13%,60.64%,62.15%,62.02%,63.16%,62.16%,62.22%,63.82%,66.26%,66.92%,68.25%,68.19%,68.55%,70.15%,71.93%,66.95%
WSU,,,151.59%,151.18%,150.06%,155.32%,160.22%,157.16%,157.56%,160.84%,160.92%,163.07%,163.36%,162.68%,160.17%,157.47%,154.79%,151.88%,150.17%,151.39%,151.76%,151.32%
WMU,,,80.00%,83.85%,87.80%,89.20%,89.20%,92.87%,92.51%,94.28%,96.38%,97.72%,98.89%,100.28%,101.52%,101.54%,102.54%,105.34%,107.43%,112.30%,116.62%,121.53%
MI avg, $-   , $-   ," $5,732 "," $5,742 "," $5,786 "," $5,747 "," $5,523 "," $4,597 "," $4,694 "," $4,776 "," $5,081 "," $5,185 "," $5,348 "," $5,480 "," $5,613 "," $5,715 "," $5,973 "," $5,832 "," $6,238 "," $6,871 "," $7,183 "," $7,275 "
