Institution,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,,
CMU,,," $3,740 "," $3,797 "," $3,875 "," $3,899 "," $3,722 "," $3,112 "," $3,168 "," $3,267 "," $3,647 "," $3,883 "," $3,944 "," $4,119 "," $4,329 "," $4,565 "," $4,972 "," $5,288 "," $5,849 "," $6,819 "," $7,323 "," $7,754 ",,
EMU,,," $4,026 "," $4,142 "," $4,255 "," $4,346 "," $4,323 "," $3,521 "," $3,551 "," $3,650 "," $3,909 "," $3,953 "," $4,207 "," $4,364 "," $4,603 "," $4,813 "," $5,315 "," $5,541 "," $6,052 "," $6,816 "," $7,554 "," $8,140 ",,
Ferris,,," $4,598 "," $4,495 "," $4,529 "," $4,390 "," $4,168 "," $3,505 "," $3,664 "," $3,735 "," $4,022 "," $4,149 "," $4,307 "," $4,422 "," $4,725 "," $4,980 "," $5,399 "," $5,545 "," $6,127 "," $6,929 "," $7,208 "," $7,740 ",,
GVSU,,," $3,227 "," $3,172 "," $3,088 "," $3,043 "," $2,867 "," $2,365 "," $2,474 "," $2,588 "," $2,835 "," $2,943 "," $3,040 "," $3,089 "," $3,152 "," $3,263 "," $3,401 "," $3,375 "," $3,837 "," $4,787 "," $5,053 "," $4,979 ",,
LSSU,,," $4,837 "," $5,069 "," $5,596 "," $5,571 "," $5,316 "," $4,707 "," $5,028 "," $5,058 "," $5,712 "," $6,075 "," $6,421 "," $6,999 "," $7,274 "," $7,865 "," $8,450 "," $8,857 "," $9,475 "," $10,407 "," $11,803 "," $12,730 ",,
MSU,,," $6,863 "," $6,838 "," $6,821 "," $6,742 "," $6,436 "," $5,461 "," $5,564 "," $5,579 "," $5,819 "," $5,848 "," $5,979 "," $6,077 "," $6,231 "," $6,276 "," $6,489 "," $6,096 "," $6,332 "," $6,745 "," $6,879 "," $6,779 ",,
MTU,,," $8,115 "," $8,006 "," $8,242 "," $7,882 "," $7,278 "," $6,125 "," $6,468 "," $6,816 "," $7,485 "," $7,222 "," $7,399 "," $7,292 "," $7,513 "," $7,629 "," $7,929 "," $7,818 "," $8,142 "," $8,238 "," $8,424 "," $8,478 ",,
NMU,,," $5,363 "," $5,398 "," $5,462 "," $5,510 "," $5,363 "," $4,468 "," $4,747 "," $4,872 "," $5,362 "," $5,617 "," $5,998 "," $6,389 "," $6,971 "," $7,286 "," $7,498 "," $7,239 "," $7,797 "," $8,365 "," $8,909 "," $8,982 ",,
OU,,," $3,714 "," $3,645 "," $3,585 "," $3,512 "," $3,368 "," $2,719 "," $2,773 "," $2,797 "," $2,896 "," $2,831 "," $2,868 "," $2,872 "," $2,957 "," $3,069 "," $3,199 "," $3,113 "," $3,649 "," $4,747 "," $5,148 "," $5,340 ",,
SVSU,,," $3,667 "," $3,644 "," $3,638 "," $3,563 "," $3,366 "," $2,665 "," $2,841 "," $2,828 "," $3,059 "," $3,193 "," $3,409 "," $3,579 "," $3,869 "," $4,142 "," $4,312 "," $4,292 "," $4,688 "," $5,229 "," $5,603 "," $5,829 ",,
UM A,,," $8,144 "," $8,077 "," $8,100 "," $7,918 "," $7,654 "," $6,399 "," $6,492 "," $6,506 "," $6,745 "," $6,844 "," $7,044 "," $7,200 "," $7,014 "," $6,889 "," $7,041 "," $6,623 "," $6,842 "," $6,956 "," $7,053 "," $7,048 ",,
UM D,,," $4,019 "," $4,052 "," $4,107 "," $4,046 "," $3,924 "," $3,223 "," $3,372 "," $3,375 "," $3,543 "," $3,615 "," $3,681 "," $3,750 "," $3,777 "," $3,737 "," $3,819 "," $3,718 "," $4,045 "," $4,753 "," $4,948 "," $4,959 ",,
UM F,,," $4,281 "," $4,183 "," $4,105 "," $3,906 "," $3,542 "," $2,788 "," $2,917 "," $2,962 "," $3,209 "," $3,223 "," $3,327 "," $3,497 "," $3,719 "," $3,824 "," $4,077 "," $3,977 "," $4,276 "," $4,821 "," $5,167 "," $4,871 ",,
WSU,,," $8,689 "," $8,680 "," $8,683 "," $8,927 "," $8,850 "," $7,225 "," $7,396 "," $7,682 "," $8,176 "," $8,455 "," $8,736 "," $8,914 "," $8,990 "," $8,999 "," $9,246 "," $8,857 "," $9,368 "," $10,402 "," $10,901 "," $11,008 ",,
WMU,,," $4,586 "," $4,814 "," $5,081 "," $5,127 "," $4,927 "," $4,269 "," $4,342 "," $4,503 "," $4,897 "," $5,066 "," $5,288 "," $5,495 "," $5,698 "," $5,803 "," $6,125 "," $6,144 "," $6,701 "," $7,717 "," $8,377 "," $8,841 ",,
MI avg,,," $5,732 "," $5,742 "," $5,786 "," $5,747 "," $5,523 "," $4,597 "," $4,694 "," $4,776 "," $5,081 "," $5,185 "," $5,348 "," $5,480 "," $5,613 "," $5,715 "," $5,973 "," $5,832 "," $6,238 "," $6,871 "," $7,183 "," $7,275 ",,
