year,source_file,unitid,institution_name,state,metric_name,metric_group,source,source_variable_name,source_developer_friendly_name,value,source_value_raw
2015-16,MERGED2015_16_PP.csv,169248,Central Michigan University,MI,Average Net Price,Average Net Price,College Scorecard,NPT4_PUB,avg_net_price.public,14509,14509
2015-16,MERGED2015_16_PP.csv,169248,Central Michigan University,MI,"Title IV student counts by income band ($0-$30,000)",Title IV student counts by income band,College Scorecard,NUM41_PUB,title_iv.public.by_income_level.0-30000,515,515
2015-16,MERGED2015_16_PP.csv,169248,Central Michigan University,MI,"Title IV student counts by income band ($30,001-$48,000)",Title IV student counts by income band,College Scorecard,NUM42_PUB,title_iv.public.by_income_level.30001-48000,323,323
2015-16,MERGED2015_16_PP.csv,169248,Central Michigan University,MI,"Title IV student counts by income band ($48,001-$75,000)",Title IV student counts by income band,College Scorecard,NUM43_PUB,title_iv.public.by_income_level.48001-75000,532,532
2015-16,MERGED2015_16_PP.csv,169248,Central Michigan University,MI,"Title IV student counts by income band ($75,001-$110,000)",Title IV student counts by income band,College Scorecard,NUM44_PUB,title_iv.public.by_income_level.75001-110000,613,613
2015-16,MERGED2015_16_PP.csv,169248,Central Michigan University,MI,"Title IV student counts by income band ($110,001+)",Title IV student counts by income band,College Scorecard,NUM45_PUB,title_iv.public.by_income_level.110001-plus,1031,1031
2015-16,MERGED2015_16_PP.csv,169248,Central Michigan University,MI,Median Debt,Median Debt,College Scorecard,GRAD_DEBT_MDN,median_debt.completers.overall,27000,27000
2015-16,MERGED2015_16_PP.csv,169248,Central Michigan University,MI,Median Earnings,Median Earnings,College Scorecard,MD_EARN_WNE_4YR,4_yrs_after_completion.median,,NA
2015-16,MERGED2015_16_PP.csv,169248,Central Michigan University,MI,Cohort Default Rate,Cohort Default Rate,College Scorecard,CDR3,3_yr_default_rate,0.044,0.044
2015-16,MERGED2015_16_PP.csv,169798,Eastern Michigan University,MI,Average Net Price,Average Net Price,College Scorecard,NPT4_PUB,avg_net_price.public,12675,12675
2015-16,MERGED2015_16_PP.csv,169798,Eastern Michigan University,MI,"Title IV student counts by income band ($0-$30,000)",Title IV student counts by income band,College Scorecard,NUM41_PUB,title_iv.public.by_income_level.0-30000,592,592
2015-16,MERGED2015_16_PP.csv,169798,Eastern Michigan University,MI,"Title IV student counts by income band ($30,001-$48,000)",Title IV student counts by income band,College Scorecard,NUM42_PUB,title_iv.public.by_income_level.30001-48000,282,282
2015-16,MERGED2015_16_PP.csv,169798,Eastern Michigan University,MI,"Title IV student counts by income band ($48,001-$75,000)",Title IV student counts by income band,College Scorecard,NUM43_PUB,title_iv.public.by_income_level.48001-75000,365,365
2015-16,MERGED2015_16_PP.csv,169798,Eastern Michigan University,MI,"Title IV student counts by income band ($75,001-$110,000)",Title IV student counts by income band,College Scorecard,NUM44_PUB,title_iv.public.by_income_level.75001-110000,325,325
2015-16,MERGED2015_16_PP.csv,169798,Eastern Michigan University,MI,"Title IV student counts by income band ($110,001+)",Title IV student counts by income band,College Scorecard,NUM45_PUB,title_iv.public.by_income_level.110001-plus,311,311
