metric_id,metric_name,source,value_unit,period_type,source_file_family,source_formula_or_variable,definition_reference_year,definition_reference_file,definition_variable,official_definition
total_price_in_state_on_campus,Total price for in-state students living on campus,IPEDS,USD,academic_year,IC_AY,CHG2AY3 + CHG4AY3 + CHG5AY3 + CHG6AY3,2023,DRVIC2023_Dict.zip,CINSON,"Cost of attendance for full-time, first-time degree/certificate seeking in-state undergraduate students living on campus for academic year 2023-24. It includes in-state tuition and fees, books and supplies, on campus room and board, and other on campus expenses. cinson=chg2ay3+chg4ay3+chg5ay3+chg6ay3"
total_price_out_state_on_campus,Total price for out-of-state students living on campus,IPEDS,USD,academic_year,IC_AY,CHG3AY3 + CHG4AY3 + CHG5AY3 + CHG6AY3,2023,DRVIC2023_Dict.zip,COTSON,"Cost of attendance for full-time, first-time degree/certificate seeking out-of-state undergraduate students living on campus for academic year 2023-24. It includes in-out-of-state tuition and fees, books and supplies, on campus room and board, and other on campus expenses. cotson=chg3ay3+chg4ay3+chg5ay3+chg6ay3"
total_price_in_state_off_campus_not_family,Total price for in-state students living off campus (not with family),IPEDS,USD,academic_year,IC_AY,CHG2AY3 + CHG4AY3 + CHG7AY3 + CHG8AY3,2023,DRVIC2023_Dict.zip,CINSOFF,"Cost of attendance for full-time, first-time degree/certificate seeking in-state undergraduate students living off campus (not with family) for academic year 2023-24. It includes in-state tuition and fees, books and supplies, off campus (not with family) room and board, and other off campus (not with family) expenses. cinsoff=chg2ay3+chg4ay3+chg7ay3+chg8ay3"
total_price_out_state_off_campus_not_family,Total price for out-of-state students living off campus (not with family),IPEDS,USD,academic_year,IC_AY,CHG3AY3 + CHG4AY3 + CHG7AY3 + CHG8AY3,2023,DRVIC2023_Dict.zip,COTSOFF,"Cost of attendance for full-time, first-time degree/certificate seeking out-of-state undergraduate students living off campus (not with family) for academic year 2023-24. It includes out-of-state tuition and fees, books and supplies, off campus (not with family) room and board, and other off campus (not with family) expneses. cotsoff=chg3ay3+chg4ay3+chg7ay3+chg8ay3"
total_price_in_state_off_campus_family,Total price for in-state students living off campus (with family),IPEDS,USD,academic_year,IC_AY,CHG2AY3 + CHG4AY3 + CHG9AY3,2023,DRVIC2023_Dict.zip,CINSFAM,"Cost of attendance for full-time, first-time degree/certificate seeking in-state undergraduate students living off campus (with family) for academic year 2023-24. It includes in-state tuition and fees, books and supplies, and other off campus (with family)expenses. cinsfam=chg2ay3+chg4ay3+chg9ay3"
total_price_out_state_off_campus_family,Total price for out-of-state students living off campus (with family),IPEDS,USD,academic_year,IC_AY,CHG3AY3 + CHG4AY3 + CHG9AY3,2023,DRVIC2023_Dict.zip,COTSFAM,"Cost of attendance for full-time, first-time degree/certificate seeking out-of-state undergraduate students living off campus (with family) for academic year 2023-24. It includes out-of-state tuition and fees, books and supplies, and other off campus (with family)expenses. cotsfam=chg3ay3+chg4ay3+chg9ay3"
pct_ftft_awarded_federal_grant_aid,Percent of full-time first-time undergraduates awarded federal grant aid,IPEDS,Percent,academic_year,SFA,FGRNT_P,2023,SFA2223_Dict.zip,FGRNT_P,"Student Financial Aid and Student Counts - Financial Aid Percentage of full-time, first-time degree/certificate-seeking undergraduate students who were awarded federal grants (grants/educational assistance funds). Federal grants (grants/educational assistance funds) - Grants provided by federal agencies such as the U.S. Department of Education, including Title IV Pell Grants and Supplemental Educational Opportunity Grants (SEOG). Also includes need-based and merit-based educational assistance funds and training vouchers provided from other federal agencies and/or federally-sponsored educational benefits programs, including the Veteran's Administration, Department of Labor, and other federal agencies. Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
avg_ftft_federal_grant_aid,Average amount of federal grant aid awarded to full-time first-time undergraduates,IPEDS,USD,academic_year,SFA,FGRNT_A,2023,SFA2223_Dict.zip,FGRNT_A,"Student Financial Aid and Student Counts - Financial Aid Average amount of federal grants (grants/educational assistance funds) awarded to full-time, first-time degree/certificate-seeking undergraduate undergraduate students. Federal grants (grants/educational assistance funds) - Grants provided by federal agencies such as the U.S. Department of Education, including Title IV Pell Grants and Supplemental Educational Opportunity Grants (SEOG). Also includes need-based and merit-based educational assistance funds and training vouchers provided from other federal agencies and/or federally-sponsored educational benefits programs, including the Veteran's Administration, Department of Labor, and other federal agencies. Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
pct_ftft_awarded_pell_grants,Percent of full-time first-time undergraduates awarded Pell grants,IPEDS,Percent,academic_year,SFA,PGRNT_P,2023,SFA2223_Dict.zip,PGRNT_P,"Percentage of full-time, first-time degree/certificate-seeking undergraduate students who were awarded Pell grants. Pell Grant program (Higher Education Act of 1965, Title IV, Part A, Subpart I, as amended.) Provides grant assistance to eligible undergraduate postsecondary students with demonstrated financial need to help meet education expenses. Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
avg_ftft_pell_grant_aid,Average amount of Pell grant aid awarded to full-time first-time undergraduates,IPEDS,USD,academic_year,SFA,PGRNT_A,2023,SFA2223_Dict.zip,PGRNT_A,"Average amount of Pell grant aid awarded to full-time, first-time degree/certificate-seeking undergraduate students. Pell Grant program (Higher Education Act of 1965, Title IV, Part A, Subpart I, as amended.) Provides grant assistance to eligible undergraduate postsecondary students with demonstrated financial need to help meet education expenses. Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
